koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,1.0000,0,0,0,2.34210,3.9180e+02,1.48,864.0,132.08,22.80,4768.00,4.536,0.7790,15.660
FALSE POSITIVE,0.0000,0,1,0,2.27570,6.0443e+03,38.33,1114.0,364.23,269.70,6072.00,4.470,0.9880,15.311
CONFIRMED,0.9990,0,0,0,2.52110,9.7680e+03,8.24,713.0,61.16,482.30,5386.00,4.553,0.7930,15.305
CONFIRMED,1.0000,0,0,0,2.70550,3.8121e+03,5.39,1038.0,274.98,99.50,5815.00,4.540,0.8770,15.287
CONFIRMED,0.8760,0,0,0,3.51760,5.1060e+02,2.66,1121.0,372.62,35.90,5653.00,4.472,0.9490,15.257
CONFIRMED,1.0000,0,0,0,2.96670,1.0244e+03,3.01,742.0,71.50,54.40,5015.00,4.499,0.8260,15.376
CONFIRMED,1.0000,0,0,0,4.01600,6.4750e+02,3.01,613.0,33.48,25.70,5015.00,4.499,0.8260,15.376
CONFIRMED,1.0000,0,0,0,2.75000,6.5590e+02,2.19,810.0,101.78,24.80,5251.00,4.581,0.8170,15.855
CONFIRMED,1.0000,0,0,0,3.09570,1.1494e+03,2.31,562.0,23.60,52.70,4702.00,4.592,0.6860,15.389
CONFIRMED,0.9990,0,0,0,4.32460,1.5638e+03,2.64,397.0,5.88,51.70,4702.00,4.592,0.6860,15.389
CONFIRMED,1.0000,0,0,0,2.85890,2.8774e+03,6.21,1234.0,547.90,240.60,6073.00,4.392,1.1350,15.270
CONFIRMED,1.0000,0,0,0,3.06940,2.0203e+03,4.35,1151.0,415.10,116.10,5727.00,4.463,0.9780,15.581
CONFIRMED,1.0000,0,0,0,6.27100,1.1875e+03,3.75,727.0,66.08,74.60,5878.00,4.444,0.9870,15.447
CONFIRMED,0.9850,0,0,0,4.21587,2.5391e+04,13.84,554.0,22.24,748.10,5862.00,4.584,0.7850,15.482
CONFIRMED,0.9420,0,0,0,11.19500,3.6046e+03,7.59,452.0,9.88,160.90,5510.00,4.222,1.2380,15.201
FALSE POSITIVE,0.0000,0,1,1,2.93810,4.3572e+03,26.82,954.0,196.31,122.10,4968.00,4.575,0.7040,15.999
CONFIRMED,0.9120,0,0,0,5.94090,2.6960e+02,2.29,712.0,60.88,62.00,5718.00,4.181,1.3170,12.377
